,videoId,thumbnail,title,descriptionSnippet,publishedTimeText,lengthText,viewCountText,Link
0,nsJIaPvbspg,https://i.ytimg.com/vi/nsJIaPvbspg/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgQChFMA8=&rs=AOn4CLAdyn5huDWizqyGjUqdvJMtIHNFcQ,Heartbreak ni ile ile | TRHK EP312 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,10 months ago,"12 minutes, 36 seconds","251,135 views",https://www.youtube.com/watch?v=nsJIaPvbspg
1,kn11JasWx28,https://i.ytimg.com/vi/kn11JasWx28/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgUihJMA8=&rs=AOn4CLBd-_Rx1f5h5qji4mE0BRcDV4ze6w,Luma Mongaras wakwende uko NKT! | TRHK EP312 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,10 months ago,"11 minutes, 18 seconds","197,956 views",https://www.youtube.com/watch?v=kn11JasWx28
2,EqvW6AwLB5s,https://i.ytimg.com/vi/EqvW6AwLB5s/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgTShGMA8=&rs=AOn4CLDXOytCYrwopULya-UV3vK5AmSI6g,Mapenzi Inawaramba! | TRHK EP312 Promo,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,10 months ago,44 seconds,"47,116 views",https://www.youtube.com/watch?v=EqvW6AwLB5s
3,xX_6THG8YR4,https://i.ytimg.com/vi/xX_6THG8YR4/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgRSgwMA8=&rs=AOn4CLAvUzLghGPNNXqlYR_FtvlpoTn4aA,Ndanda ni wewe! | TRHK EP311 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,10 months ago,"11 minutes, 53 seconds","153,011 views",https://www.youtube.com/watch?v=xX_6THG8YR4
4,qZ2jpOiPQsQ,https://i.ytimg.com/vi/qZ2jpOiPQsQ/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgZShlMA8=&rs=AOn4CLC7Ph88Xfc7i5ePYKU7PZUBzW370w,He he he!!! Sema kuwithdraw pesa kwa choo | TRHK EP311 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,10 months ago,"12 minutes, 8 seconds","179,489 views",https://www.youtube.com/watch?v=qZ2jpOiPQsQ
5,rC3Wksm6wKk,https://i.ytimg.com/vi/rC3Wksm6wKk/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgSCg7MA8=&rs=AOn4CLAxOt1kA1W0yBL4DZS7nsyT3YEYKw,"Mashetani, Malaika na Mandanda! | TRHK EP311 Promo",The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,10 months ago,35 seconds,"43,505 views",https://www.youtube.com/watch?v=rC3Wksm6wKk
6,hYchmNBl5tQ,https://i.ytimg.com/vi/hYchmNBl5tQ/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgXChKMA8=&rs=AOn4CLD7uO5LOIn40RWQFuI3_VJi1QqjjA,Maisha ni mlima na mabonde | TRHK EP310 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,11 months ago,"10 minutes, 40 seconds","161,992 views",https://www.youtube.com/watch?v=hYchmNBl5tQ
7,2itKXVn3OOQ,https://i.ytimg.com/vi/2itKXVn3OOQ/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgXihCMA8=&rs=AOn4CLDeSvClm3vu7VtQlGkCgRMPEhY-9A,Ni kama Shipira amefikiwa | TRHK EP310 Pt 1,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,11 months ago,"11 minutes, 19 seconds","192,054 views",https://www.youtube.com/watch?v=2itKXVn3OOQ
8,CwHVoGrcDMQ,https://i.ytimg.com/vi/CwHVoGrcDMQ/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGCIgVihyMA8=&rs=AOn4CLA6YqYgCL6C-_TbGaJfU-ADAXoCRQ,But why is Shipira sad yawa  | TRHK EP310 Promo,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,11 months ago,37 seconds,"65,976 views",https://www.youtube.com/watch?v=CwHVoGrcDMQ
9,ST1XVAol5mo,https://i.ytimg.com/vi/ST1XVAol5mo/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGHIgXSgwMA8=&rs=AOn4CLD9jqGEevtZQcz381GhcaOgasIx4A,Crotus watu si wajinga buana  | TRHK EP309 Pt 2,The Real Househelps of Kawangware follows the lives of domestic works and their friends as they navigate the ups and downs of life in Kawangware,11 months ago,"11 minutes, 34 seconds","207,587 views",https://www.youtube.com/watch?v=ST1XVAol5mo
